Token,Tag,Image
2-Jan,CD,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
tsp,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
onion,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
powder-,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
2-Jan,CD,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
tsp,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
smoked,VBN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
paprika-,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
2,CD,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
tsp,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
sesame,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
oil,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
*,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
*,SYM,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
-,:,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
2,CD,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
tsp,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
Sri,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
Racha,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
sauce,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
(,(,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
add,VB,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
to,TO,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
taste,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
),),/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
-,:,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
1,CD,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
2-Jan,CD,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
tsp,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
liquid,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
smoke,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
*,JJ,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
*,NNP,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
*,NNP,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
-,:,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
1,CD,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
tbsp,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
maple,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
sirup-,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
2,CD,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
2-Jan,CD,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
tbsp,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
soy,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
sauce-,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
1,CD,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
tbsp,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
apple,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
cider,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
vinegar-,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
3,CD,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
tbsp,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
vital,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
wheat,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
gluten,NNS,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
*,JJ,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
*,NNP,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
*,NNP,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
*,NNP,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
*,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
Find,IN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
it,PRP,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
on,IN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
amazon,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
